Name,Industry,Descripiton,Email,Phone,Address,Website,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Table Tennis,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Tennis,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Wrestling Team,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cross Country and Track,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycling Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrian Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eventing Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fencing Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golf,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Club Swimming,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Club Soccer,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's and Women's Archery,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Club Lacrosse,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Club Ultimate Frisbee,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Club Volleyball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Club Water Polo,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Rugby Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men's Soccer Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowing Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ski and Snowboard Racing Team,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Club Lacrosse,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Club Volleyball,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Club Water Polo,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Rugby Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Ultimate Frisbee Club,University Recreation – Sport Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazilian Jiu-Jitsu,University Recreation – Special Interest/Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass Fishing Club,University Recreation – Special Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Boarderline,University Recreation – Snow Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caving,University Recreation – Outdoor/Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Tae Kwon Do,University Recreation – Martial Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Cheerleading,University Recreation – Competitive Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Line Dancing,Student Leadership & Involvement – Wellness/Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetix Breakdance Crew,Student Leadership & Involvement – Wellness/Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin Dance Club at JMU,Student Leadership & Involvement – Wellness/Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healthy Celebrations at JMU (Run Club),Student Leadership & Involvement – Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Buddies,Student Leadership and Involvement - Service-Oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Give Volunteers,Student Leadership and Involvement - Service-Oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I DREAM Disability Network and Coalition,Student Leadership and Involvement - Political & Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Equality,Student Leadership and Involvement - Political & Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Alliance on Mental Illness,Student Leadership and Involvement - Issue-Oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Athletic Training Students' Association,Student Leadership and Involvement - Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor Club,Student Leadership and Involvement - Health/Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Care Club,Student Leadership and Involvement - Health & Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature and Wellness Club,Student Leadership & Involvement – Wellness/Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan’s Message – JMU Chapter,Student Leadership & Involvement – Wellness/Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girl Gains at JMU,Student Leadership & Involvement – Wellness/Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAARG at JMU,Student Leadership & Involvement – Wellness/Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RunBuds,Student Leadership & Involvement – Wellness/Fitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fellowship of Christian Athletes (FCA),Student Leadership & Involvement – Wellness/Faith & Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Support Network,Student Leadership & Involvement – Wellness/Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students Against Sexual Violence,Student Leadership & Involvement – Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterflies for Ben,Student Leadership & Involvement – Mental Health/Wellness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Criminal Justice Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Marketing Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Medical Student Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Society of Civil Engineers at James Madison University,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Society of Mechanical Engineers,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association for Information Systems,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Latino Professionals for America (ALPFA) – JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Chi Sigma,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Omega Epsilon,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Phi Omega,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black College of Business Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegiate DECA,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU SHRM (Society for Human Resource Management),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Society of Minorities in Hospitality,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Force ROTC,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Service Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Programming Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Cyber Defense Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Society of Real Estate,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta Alpha Psi and Financial Professionals Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Business Student Diversity Council,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community of Future Secondary Educators,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegiate Virginia Music Educators Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Integrated Science and Technology Honor Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligence Analysis Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physician Assistant Student Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Professional People of Color,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Q.U.A.N.T. Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Association of Engineering Geologists Student Chapter at JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Sign Language Club (Professional track),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Debate,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Affairs/Policy Debate (if listed as a sub-group),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU VALOR (Veterans/Leadership),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU PD (Professional Development listing),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Collegiate Virginia Music Educators Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanics in STEM,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Designers Society of America (IDSA),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISAT Honor Society (duplicate normalization),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Collegiate Virginia Music Educators Association (duplicate normalization),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Intelligence Analysis Club (duplicate normalization),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMU Finance Society (if listed),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Investment Fund,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Consulting Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Management Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Society of Women Engineers (SWE) – JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in Technology (WIT),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in Business,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Sales Club (if listed),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Relations Student Society of America (PRSSA),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional Convention Management Association (PCMA) – JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Administration Student Association (HASA),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing Student Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi Chi Theta,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Medical Brigades,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forensic Accounting Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eta Sigma Delta (Hospitality),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute for Healthcare Improvement (IHI) Open School @ JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Society of Entrepreneurs,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Commerce Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Artificial Intelligence Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Tech Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DukeStats – ASA Student Chapter,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robotics Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in Intelligence & National Security,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viva STEM!,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unix Users Group,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical Spanish Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Dental Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Occupational Therapy Association,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Optometry Society at JMU,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Physical Therapy Society,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Physician Assistant Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing Students Without Borders,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Aerospace Club,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Designers Society of America (IDSA),Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women in Sport and Recreation Management,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi Kappa Epsilon,Student Leadership & Involvement – Professional Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
